               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10532,            0.065201,            0.036109,            0.026937,              0.2834,            0.017621,            0.004275,            0.092623,             0.03327,            0.032206,              0.0706,           0.0032667,           0.0032667
                   1,            0.083939,             0.04172,            0.026732,             0.75605,            0.066746,             0.08085,             0.02228,            0.080777,            0.029349,            0.027546,            0.040469,           0.0064693,           0.0064693
                   2,            0.083734,            0.034692,            0.022227,             0.74486,            0.089347,             0.10662,            0.033936,            0.079139,            0.028363,            0.025153,            0.010207,             0.00954,             0.00954
                   3,            0.079523,            0.031938,             0.01992,             0.50953,             0.15356,             0.12161,            0.032993,            0.078228,            0.027073,            0.024192,            0.009406,            0.009406,            0.009406
                   4,            0.074271,            0.030096,            0.018968,             0.63138,             0.22239,             0.20663,            0.071264,            0.070304,            0.028276,            0.022673,            0.009406,            0.009406,            0.009406
                   5,            0.069276,            0.028968,            0.018452,             0.28288,             0.37203,             0.25741,            0.089362,            0.069948,            0.027915,            0.021999,            0.009208,            0.009208,            0.009208
                   6,            0.067167,            0.029817,             0.01622,             0.41083,             0.33152,             0.28891,             0.09387,            0.066239,            0.029712,            0.021552,             0.00901,             0.00901,             0.00901
                   7,            0.063353,            0.029288,            0.015224,              0.3768,             0.37355,             0.35079,             0.12694,            0.063938,             0.02889,            0.019291,            0.008812,            0.008812,            0.008812
                   8,             0.06038,            0.027464,            0.015052,             0.41722,             0.36186,             0.34804,             0.14362,              0.0613,              0.0298,            0.019616,            0.008614,            0.008614,            0.008614
                   9,            0.060304,            0.028438,            0.013927,             0.59932,             0.30697,              0.3659,             0.15011,            0.061464,            0.028756,            0.021035,            0.008416,            0.008416,            0.008416
                  10,            0.059368,            0.026684,            0.012807,             0.63633,             0.38052,              0.4111,             0.17736,            0.059716,            0.029095,            0.019989,            0.008218,            0.008218,            0.008218
                  11,            0.055884,            0.025505,            0.012867,              0.5871,             0.36457,             0.40029,             0.16727,            0.059147,             0.03001,            0.020274,             0.00802,             0.00802,             0.00802
                  12,            0.056611,            0.025456,            0.011051,              0.5438,             0.38318,             0.40824,             0.17185,            0.059207,            0.030079,            0.019153,            0.007822,            0.007822,            0.007822
                  13,            0.055213,            0.024995,            0.010402,              0.6416,             0.36049,              0.4003,             0.16573,             0.05869,            0.030968,            0.019206,            0.007624,            0.007624,            0.007624
                  14,            0.053894,            0.025769,            0.010617,             0.50651,             0.40223,             0.39349,              0.1692,            0.057143,            0.029921,            0.021321,            0.007426,            0.007426,            0.007426
                  15,            0.053107,            0.023647,           0.0099078,             0.62268,             0.37347,             0.42017,             0.18291,            0.058358,            0.030614,            0.021736,            0.007228,            0.007228,            0.007228
                  16,            0.051472,            0.023909,            0.009724,             0.64164,             0.35079,             0.39995,              0.1835,            0.058538,            0.031187,            0.020615,             0.00703,             0.00703,             0.00703
                  17,            0.051806,            0.023873,           0.0093888,             0.51569,             0.43411,             0.42306,             0.19399,            0.058906,            0.031738,            0.020127,            0.006832,            0.006832,            0.006832
