               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10884,            0.066746,             0.03607,           0.0043597,             0.40578,           0.0084039,           0.0022643,            0.090064,            0.048369,            0.029932,              0.0706,           0.0032667,           0.0032667
                   1,             0.08805,            0.048873,            0.029077,             0.73745,             0.10361,            0.063722,            0.017609,            0.086146,            0.035959,            0.026284,            0.040469,           0.0064693,           0.0064693
                   2,            0.084753,            0.035661,            0.024872,             0.18843,             0.18526,             0.09069,            0.023815,            0.077446,            0.037243,            0.023738,            0.010207,             0.00954,             0.00954
                   3,            0.078915,            0.035294,            0.023005,             0.26182,              0.3564,             0.16342,            0.048117,            0.077273,            0.037196,            0.021728,            0.009406,            0.009406,            0.009406
                   4,            0.073733,            0.034407,            0.021001,            0.094936,             0.30172,            0.078698,            0.020606,            0.083157,            0.033395,            0.019355,            0.009406,            0.009406,            0.009406
                   5,            0.072198,             0.03091,            0.018459,             0.29597,             0.48192,             0.29026,             0.10218,            0.068051,            0.035589,            0.017188,            0.009208,            0.009208,            0.009208
                   6,            0.066789,            0.032492,            0.015929,             0.29271,             0.42045,             0.24168,             0.07332,            0.070236,            0.038478,            0.017208,             0.00901,             0.00901,             0.00901
                   7,            0.063054,            0.031416,            0.014877,             0.37303,              0.4633,              0.3647,             0.12975,            0.065452,            0.034022,            0.016046,            0.008812,            0.008812,            0.008812
                   8,            0.059778,            0.031541,            0.014236,             0.63839,             0.36751,             0.44544,             0.16006,            0.061038,            0.033792,            0.015779,            0.008614,            0.008614,            0.008614
                   9,            0.060711,            0.033301,            0.012743,             0.60949,             0.40473,             0.42837,             0.14295,            0.061947,            0.032818,            0.016385,            0.008416,            0.008416,            0.008416
                  10,            0.061005,            0.028444,            0.011778,             0.54619,             0.45146,             0.47306,             0.18578,            0.058145,            0.033344,            0.017696,            0.008218,            0.008218,            0.008218
                  11,            0.057736,            0.028652,            0.012393,             0.51678,             0.40866,             0.42884,             0.14833,            0.061887,            0.034183,            0.016749,             0.00802,             0.00802,             0.00802
                  12,            0.056574,            0.029688,            0.012262,             0.70406,             0.48884,              0.5307,             0.20304,            0.057568,            0.033666,            0.015594,            0.007822,            0.007822,            0.007822
                  13,            0.055801,            0.027295,            0.010699,             0.63526,              0.4873,             0.51676,             0.20828,            0.058569,            0.033757,            0.014698,            0.007624,            0.007624,            0.007624
                  14,            0.055577,            0.027393,            0.011041,             0.58463,             0.50738,             0.50036,             0.21927,            0.057719,            0.033782,            0.015479,            0.007426,            0.007426,            0.007426
                  15,            0.054147,            0.028543,            0.010345,             0.55171,              0.5048,             0.48668,             0.20257,            0.057928,            0.035307,            0.014846,            0.007228,            0.007228,            0.007228
                  16,            0.052992,            0.028168,           0.0095997,             0.62751,             0.49561,             0.49727,              0.2095,            0.058529,            0.033788,             0.01455,             0.00703,             0.00703,             0.00703
                  17,              0.0536,            0.026288,            0.010301,             0.70384,             0.49089,             0.51764,             0.21358,             0.05816,            0.034293,            0.015005,            0.006832,            0.006832,            0.006832
                  18,            0.052963,            0.027903,            0.009231,             0.55084,              0.4975,             0.47625,             0.20104,            0.058523,            0.035276,            0.015747,            0.006634,            0.006634,            0.006634
                  19,            0.051618,            0.025267,           0.0087464,             0.61066,              0.4712,             0.47456,             0.19863,            0.058448,            0.034516,            0.014565,            0.006436,            0.006436,            0.006436
                  20,            0.049764,            0.026591,           0.0086596,             0.53726,             0.50538,             0.49769,             0.20527,            0.057141,            0.034972,            0.015517,            0.006238,            0.006238,            0.006238
                  21,            0.049495,            0.027194,           0.0084499,             0.61031,             0.47953,              0.4989,             0.21464,            0.057268,            0.034899,            0.015809,             0.00604,             0.00604,             0.00604
                  22,            0.049791,            0.025187,           0.0083013,             0.63317,             0.44747,             0.50271,             0.20672,            0.058429,            0.036472,            0.015661,            0.005842,            0.005842,            0.005842
                  23,            0.048533,            0.025256,           0.0080887,              0.6949,             0.50429,             0.52415,             0.21662,            0.058042,             0.03667,            0.014653,            0.005644,            0.005644,            0.005644
                  24,            0.047671,            0.024465,            0.007526,             0.63719,             0.47241,             0.51311,             0.22812,            0.055936,            0.037152,             0.01652,            0.005446,            0.005446,            0.005446
                  25,            0.046742,            0.025284,           0.0072977,             0.69908,             0.51628,             0.52749,             0.23586,            0.055664,            0.035698,            0.016126,            0.005248,            0.005248,            0.005248
                  26,            0.048629,            0.024617,           0.0080916,             0.68687,             0.48667,             0.54791,             0.24132,            0.055926,            0.036276,            0.015829,             0.00505,             0.00505,             0.00505
                  27,            0.046084,            0.024438,           0.0072743,             0.63408,             0.54984,             0.54962,             0.24931,            0.055631,            0.036293,             0.01386,            0.004852,            0.004852,            0.004852
                  28,            0.045884,            0.023357,           0.0070852,              0.6835,             0.47719,             0.51661,             0.21544,            0.057129,            0.036442,            0.014938,            0.004654,            0.004654,            0.004654
                  29,            0.045791,            0.022435,           0.0068704,             0.63749,             0.51139,             0.53373,             0.22463,            0.056256,            0.035988,            0.015446,            0.004456,            0.004456,            0.004456
                  30,             0.04492,            0.022384,           0.0073579,             0.64568,              0.4677,             0.50099,             0.21603,            0.057167,            0.038089,            0.015753,            0.004258,            0.004258,            0.004258
