               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10817,            0.061711,            0.038753,           0.0027761,              0.3988,            0.056235,            0.015786,            0.091681,            0.032277,            0.033892,              0.0706,           0.0032667,           0.0032667
                   1,            0.083793,            0.038129,            0.030618,             0.72971,            0.042636,             0.04343,            0.016025,            0.085448,            0.029446,            0.030702,            0.040469,           0.0064693,           0.0064693
                   2,            0.079613,            0.033072,            0.027332,             0.70087,             0.05814,            0.033713,             0.00864,            0.085203,            0.025317,            0.027629,            0.010207,             0.00954,             0.00954
                   3,            0.078527,            0.031183,            0.024971,             0.47197,                0.18,             0.12511,            0.035833,            0.072279,            0.025931,            0.025861,            0.009406,            0.009406,            0.009406
                   4,            0.073073,            0.030015,            0.022438,             0.22498,              0.2858,             0.12543,            0.042258,            0.076302,            0.030832,            0.025277,            0.009406,            0.009406,            0.009406
                   5,            0.068336,            0.026242,             0.02038,             0.30617,             0.38089,             0.27618,            0.085912,            0.064894,            0.025723,            0.020582,            0.009208,            0.009208,            0.009208
                   6,            0.065994,            0.025432,             0.01836,             0.45531,             0.30579,             0.27466,            0.097081,            0.065601,             0.02648,            0.019409,             0.00901,             0.00901,             0.00901
                   7,            0.063912,            0.024769,            0.017099,             0.37375,             0.30931,             0.27371,            0.093505,            0.066562,            0.025759,              0.0227,            0.008812,            0.008812,            0.008812
                   8,            0.060153,            0.023918,            0.015533,             0.47824,              0.3513,             0.33504,             0.11462,            0.061046,            0.025578,            0.018529,            0.008614,            0.008614,            0.008614
                   9,            0.060354,            0.025481,            0.014998,             0.49111,             0.40209,             0.36232,             0.14043,            0.060523,            0.025249,            0.019743,            0.008416,            0.008416,            0.008416
                  10,            0.059006,            0.023568,             0.01369,              0.5299,             0.35274,             0.36532,             0.13288,            0.059967,            0.025208,            0.021804,            0.008218,            0.008218,            0.008218
                  11,            0.056186,            0.024429,            0.013522,             0.49382,             0.37613,             0.34156,              0.1454,            0.057792,            0.025787,            0.022242,             0.00802,             0.00802,             0.00802
                  12,            0.055116,            0.022938,            0.012677,             0.53346,             0.35903,             0.37368,             0.15915,            0.058901,            0.024912,            0.019363,            0.007822,            0.007822,            0.007822
                  13,            0.055263,            0.022738,             0.01269,             0.52225,             0.38662,             0.37085,             0.17061,            0.056313,            0.025308,            0.021478,            0.007624,            0.007624,            0.007624
                  14,            0.053458,            0.022705,            0.011109,             0.64043,             0.37567,             0.39791,             0.16502,             0.05834,            0.026506,            0.020944,            0.007426,            0.007426,            0.007426
                  15,            0.052735,            0.020762,            0.010529,             0.63368,              0.3374,             0.38046,             0.16849,            0.055894,            0.028835,            0.020659,            0.007228,            0.007228,            0.007228
