               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10695,            0.060039,            0.037933,            0.004509,              0.5803,            0.092516,            0.024125,            0.086084,            0.037673,            0.031804,              0.0706,           0.0032667,           0.0032667
                   1,            0.084235,            0.039289,            0.029801,               0.767,            0.099746,            0.085289,            0.024874,            0.079378,            0.033398,            0.027348,            0.040469,           0.0064693,           0.0064693
                   2,             0.08129,            0.031841,            0.026122,            0.075281,             0.18577,            0.056616,            0.016926,            0.081966,            0.029328,            0.023566,            0.010207,             0.00954,             0.00954
                   3,            0.077907,             0.03002,            0.024071,             0.47454,             0.20309,             0.10188,             0.02911,            0.075984,            0.028343,            0.022743,            0.009406,            0.009406,            0.009406
                   4,            0.070961,            0.028932,            0.021936,             0.52567,             0.31069,             0.22042,             0.09636,            0.070329,            0.030001,            0.020126,            0.009406,            0.009406,            0.009406
                   5,            0.070533,            0.026074,            0.019526,             0.55293,             0.38445,             0.32938,             0.13356,            0.066803,             0.02646,            0.018738,            0.009208,            0.009208,            0.009208
                   6,            0.065164,            0.025596,            0.018066,             0.33044,             0.34984,             0.27483,            0.097451,            0.065361,            0.027133,            0.017755,             0.00901,             0.00901,             0.00901
                   7,            0.064226,            0.025969,            0.016595,              0.4757,             0.36374,             0.29089,             0.12299,            0.066333,            0.026081,             0.01718,            0.008812,            0.008812,            0.008812
                   8,            0.061541,             0.02423,            0.015554,             0.51819,             0.36858,             0.40588,             0.16899,            0.060029,            0.026679,            0.016878,            0.008614,            0.008614,            0.008614
                   9,            0.060794,            0.025261,            0.014405,             0.51922,             0.44589,             0.42723,             0.16062,            0.058983,            0.026878,            0.015198,            0.008416,            0.008416,            0.008416
                  10,            0.059865,            0.025265,            0.012774,             0.57107,              0.4323,             0.44432,             0.19429,            0.058351,            0.026831,            0.015902,            0.008218,            0.008218,            0.008218
                  11,            0.057682,            0.023992,             0.01243,             0.62311,             0.44353,             0.47291,              0.2086,            0.054587,            0.027901,            0.015325,             0.00802,             0.00802,             0.00802
                  12,             0.05606,            0.023005,            0.012382,             0.51076,             0.42491,             0.42203,             0.18557,            0.055742,            0.028786,            0.015357,            0.007822,            0.007822,            0.007822
                  13,            0.055095,             0.02262,            0.011617,             0.47067,             0.48051,             0.45665,             0.20091,            0.055777,            0.028035,            0.014937,            0.007624,            0.007624,            0.007624
                  14,            0.054118,            0.022574,            0.010847,             0.61198,             0.45322,             0.47614,             0.20501,            0.055063,             0.02828,            0.017376,            0.007426,            0.007426,            0.007426
                  15,            0.053677,            0.021038,            0.010783,             0.60882,             0.42766,             0.45337,             0.18297,            0.055756,            0.028235,            0.018068,            0.007228,            0.007228,            0.007228
                  16,            0.051867,            0.021748,            0.010691,             0.67514,             0.42208,             0.47007,             0.20417,            0.054691,            0.028731,            0.016266,             0.00703,             0.00703,             0.00703
                  17,            0.051842,            0.020644,           0.0093799,             0.62449,             0.43376,             0.49493,             0.22884,            0.053892,            0.028091,            0.016677,            0.006832,            0.006832,            0.006832
                  18,            0.052017,            0.021579,           0.0098375,             0.67403,             0.45496,             0.50161,             0.22251,            0.052995,            0.028148,            0.016941,            0.006634,            0.006634,            0.006634
                  19,            0.051154,            0.020983,           0.0093238,             0.70111,             0.42251,             0.48644,             0.22612,            0.054534,            0.028365,            0.018067,            0.006436,            0.006436,            0.006436
                  20,            0.048538,            0.020078,           0.0095287,              0.6465,             0.43878,             0.48907,             0.21251,            0.054429,            0.028263,            0.016916,            0.006238,            0.006238,            0.006238
                  21,            0.049833,            0.021105,           0.0086674,             0.67984,             0.44931,             0.48356,             0.20003,              0.0558,            0.028719,            0.016428,             0.00604,             0.00604,             0.00604
