               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10853,            0.069274,            0.039114,           0.0035949,             0.29652,            0.025417,           0.0060378,            0.088308,            0.057019,            0.023848,              0.0706,           0.0032667,           0.0032667
                   1,            0.089505,            0.051923,            0.023839,             0.78518,            0.053659,            0.025101,           0.0064023,            0.098833,            0.032888,            0.016794,            0.040469,           0.0064693,           0.0064693
                   2,            0.089094,            0.040574,            0.020537,             0.80902,            0.084756,            0.048385,            0.013413,            0.089748,            0.033688,            0.015707,            0.010207,             0.00954,             0.00954
                   3,            0.083964,            0.039331,            0.018755,             0.84658,            0.092073,            0.097613,            0.032038,            0.078017,            0.037779,            0.015727,            0.009406,            0.009406,            0.009406
                   4,            0.076751,            0.036952,            0.019825,             0.83447,            0.095732,            0.076416,            0.030055,            0.073115,            0.038958,            0.014794,            0.009406,            0.009406,            0.009406
                   5,            0.071413,            0.037859,            0.017371,             0.74355,             0.19274,             0.12818,            0.039429,            0.073571,            0.038893,            0.012866,            0.009208,            0.009208,            0.009208
                   6,            0.069356,            0.036877,            0.015235,             0.77261,             0.15945,               0.168,            0.056899,            0.067286,            0.038843,            0.013166,             0.00901,             0.00901,             0.00901
                   7,            0.066712,            0.033962,            0.015145,             0.72067,             0.18023,             0.15733,            0.052524,             0.06474,            0.039642,            0.013833,            0.008812,            0.008812,            0.008812
                   8,            0.062875,            0.035139,            0.015215,             0.78919,             0.17506,             0.19255,            0.079891,            0.062118,            0.040626,            0.012564,            0.008614,            0.008614,            0.008614
                   9,            0.060316,            0.036247,            0.013844,             0.38352,             0.26507,             0.18528,            0.068854,            0.062769,            0.038984,             0.01224,            0.008416,            0.008416,            0.008416
                  10,            0.060558,            0.036184,            0.011395,             0.77249,             0.15003,             0.17664,            0.068385,            0.064254,            0.037474,            0.011292,            0.008218,            0.008218,            0.008218
                  11,            0.060662,            0.035952,            0.011103,             0.22339,             0.28924,             0.22016,            0.082695,            0.064761,            0.037574,            0.011501,             0.00802,             0.00802,             0.00802
                  12,            0.058274,             0.03498,             0.01245,              0.2789,             0.33887,             0.30447,             0.11741,             0.05754,            0.037523,            0.010507,            0.007822,            0.007822,            0.007822
                  13,            0.057239,            0.032168,            0.010318,             0.78476,             0.17689,             0.25925,             0.10809,            0.057695,            0.038785,            0.010651,            0.007624,            0.007624,            0.007624
                  14,            0.055331,             0.03225,            0.011689,             0.27977,             0.35891,             0.29738,             0.12551,            0.055774,            0.039377,            0.010259,            0.007426,            0.007426,            0.007426
                  15,            0.054701,            0.032379,            0.011033,             0.37713,             0.36522,             0.31629,             0.14187,            0.055285,            0.041061,             0.01067,            0.007228,            0.007228,            0.007228
                  16,             0.05459,            0.032573,           0.0093966,             0.43189,               0.293,             0.27924,             0.11821,             0.05714,            0.039906,            0.010952,             0.00703,             0.00703,             0.00703
                  17,            0.054479,            0.033614,           0.0096157,               0.414,              0.3374,             0.31067,             0.13348,            0.055283,            0.038612,            0.011075,            0.006832,            0.006832,            0.006832
                  18,            0.053325,            0.033636,           0.0097017,             0.84253,             0.23792,             0.29236,             0.14351,            0.056132,            0.038965,            0.011106,            0.006634,            0.006634,            0.006634
                  19,            0.051858,            0.032896,           0.0089286,             0.69333,             0.30469,              0.3295,             0.13276,             0.05584,            0.038546,            0.010411,            0.006436,            0.006436,            0.006436
                  20,            0.051476,            0.031568,           0.0094571,             0.77371,             0.32857,             0.38626,              0.1736,            0.055507,            0.041719,           0.0098851,            0.006238,            0.006238,            0.006238
                  21,            0.052763,            0.033527,           0.0076754,             0.54531,             0.33412,             0.40998,             0.17038,            0.055103,            0.039361,            0.010221,             0.00604,             0.00604,             0.00604
                  22,            0.050566,            0.031226,           0.0071933,             0.84637,             0.32416,             0.42705,             0.17816,             0.05615,            0.040517,           0.0097933,            0.005842,            0.005842,            0.005842
                  23,            0.050462,            0.031603,           0.0080857,             0.42274,             0.47191,              0.4429,             0.18595,            0.053335,            0.040239,           0.0088741,            0.005644,            0.005644,            0.005644
                  24,            0.048985,            0.030909,           0.0078982,             0.80877,             0.36511,             0.43808,             0.17767,            0.055305,            0.040212,            0.008563,            0.005446,            0.005446,            0.005446
                  25,            0.049286,            0.030472,           0.0069231,             0.84204,             0.36246,             0.43605,             0.17232,            0.053796,            0.041771,           0.0088084,            0.005248,            0.005248,            0.005248
                  26,            0.049936,            0.030482,           0.0073506,             0.56755,              0.3849,             0.45306,             0.17791,            0.052568,            0.040644,           0.0086682,             0.00505,             0.00505,             0.00505
                  27,            0.047278,                0.03,           0.0067416,             0.49413,             0.41605,             0.42218,             0.16584,            0.054283,            0.039958,            0.008596,            0.004852,            0.004852,            0.004852
                  28,            0.047664,            0.029716,           0.0057159,             0.68941,             0.34399,             0.34423,              0.1512,            0.055343,            0.040304,           0.0080364,            0.004654,            0.004654,            0.004654
                  29,            0.046753,            0.028048,           0.0058598,             0.87546,             0.33957,             0.40075,             0.15769,            0.054667,             0.03956,           0.0084505,            0.004456,            0.004456,            0.004456
                  30,            0.046698,            0.028797,           0.0060278,             0.66169,             0.52224,             0.50548,              0.2127,            0.054778,            0.040256,           0.0085804,            0.004258,            0.004258,            0.004258
                  31,            0.045824,            0.026203,           0.0059775,             0.59017,             0.45362,             0.42834,              0.1877,            0.055222,            0.040644,           0.0086764,             0.00406,             0.00406,             0.00406
                  32,            0.044868,            0.027326,           0.0053747,             0.73405,              0.4821,             0.50721,             0.19707,            0.053111,            0.039565,           0.0087041,            0.003862,            0.003862,            0.003862
                  33,            0.045164,            0.026448,           0.0053469,             0.74447,             0.50246,             0.52805,               0.215,            0.053432,            0.039295,           0.0083793,            0.003664,            0.003664,            0.003664
                  34,            0.045583,            0.027444,           0.0054223,             0.51937,             0.43012,             0.46654,             0.22116,            0.053321,            0.039343,           0.0086233,            0.003466,            0.003466,            0.003466
                  35,            0.044028,            0.027749,           0.0050075,               0.487,             0.49287,             0.43966,             0.18945,            0.053872,            0.040435,             0.00862,            0.003268,            0.003268,            0.003268
                  36,            0.043661,            0.026152,           0.0046252,             0.85118,             0.39516,             0.45614,             0.21771,            0.052959,            0.041282,           0.0081323,             0.00307,             0.00307,             0.00307
                  37,            0.044712,            0.029171,           0.0046067,             0.77073,             0.40878,             0.47716,             0.22366,            0.053078,            0.040248,             0.00821,            0.002872,            0.002872,            0.002872
                  38,            0.043434,            0.027573,           0.0043346,             0.79012,              0.4853,             0.51523,             0.23841,            0.053342,            0.040767,           0.0087088,            0.002674,            0.002674,            0.002674
                  39,             0.04235,            0.027116,           0.0040388,             0.74706,             0.48359,             0.50969,              0.2404,            0.052739,            0.040197,           0.0085902,            0.002476,            0.002476,            0.002476
                  40,            0.042186,            0.027108,           0.0041008,             0.80415,              0.3961,              0.4797,             0.21436,            0.054264,            0.040556,           0.0084227,            0.002278,            0.002278,            0.002278
                  41,            0.041647,            0.026552,           0.0031804,             0.61421,             0.48287,             0.48165,             0.21946,             0.05313,            0.041286,           0.0078447,             0.00208,             0.00208,             0.00208
                  42,            0.041309,            0.027222,           0.0035256,              0.6455,             0.49517,              0.4927,             0.22333,            0.053524,            0.041809,           0.0081552,            0.001882,            0.001882,            0.001882
                  43,             0.04091,            0.024707,           0.0038864,             0.63894,             0.46799,             0.51003,             0.20925,            0.052658,            0.041082,           0.0078045,            0.001684,            0.001684,            0.001684
                  44,            0.041747,            0.027296,           0.0038989,             0.79671,             0.52542,             0.53555,             0.19279,            0.053018,            0.040363,           0.0079371,            0.001486,            0.001486,            0.001486
                  45,            0.041249,            0.027119,           0.0037952,              0.7777,             0.46883,             0.50412,             0.23034,            0.052583,            0.040819,           0.0080533,            0.001288,            0.001288,            0.001288
                  46,            0.040467,            0.025826,           0.0035855,              0.8227,             0.42232,             0.50388,             0.21652,            0.052483,            0.041218,           0.0078731,             0.00109,             0.00109,             0.00109
                  47,            0.040372,            0.026157,           0.0037146,             0.83111,             0.39957,             0.48835,             0.22295,            0.052525,            0.042059,           0.0075925,            0.000892,            0.000892,            0.000892
                  48,            0.038658,            0.023219,            0.002927,             0.58788,             0.53583,             0.49218,              0.2104,            0.052694,            0.042451,           0.0073625,            0.000694,            0.000694,            0.000694
                  49,            0.039543,            0.027116,            0.003513,              0.7821,             0.42436,             0.51275,             0.23033,            0.052573,            0.041423,           0.0074488,            0.000496,            0.000496,            0.000496
