               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10779,            0.056102,             0.03727,           0.0029857,             0.46327,            0.005996,           0.0014036,            0.088863,            0.034317,             0.03221,            0.070476,           0.0032804,           0.0032804
                   1,             0.08288,            0.036354,            0.030702,             0.73048,            0.072539,            0.057097,            0.013389,             0.07463,            0.030928,            0.028525,            0.040345,           0.0064828,           0.0064828
                   2,            0.078797,            0.030094,            0.026367,             0.12232,             0.23951,             0.11309,            0.031956,             0.07341,            0.027262,            0.025209,            0.010082,           0.0095532,           0.0095532
                   3,            0.074384,            0.026957,             0.02281,             0.17125,             0.24471,              0.1273,            0.041229,            0.071319,            0.026858,            0.025144,            0.009406,            0.009406,            0.009406
                   4,            0.069252,            0.024962,            0.021488,             0.33571,              0.2929,              0.2348,            0.082217,             0.06764,            0.025248,            0.022864,            0.009406,            0.009406,            0.009406
                   5,             0.06695,            0.022989,            0.019255,             0.39182,             0.37755,             0.29595,             0.10358,             0.06283,            0.025768,            0.019593,            0.009208,            0.009208,            0.009208
                   6,            0.063954,             0.02171,            0.017307,             0.42064,             0.38335,             0.32404,             0.11014,            0.061499,            0.024956,            0.019803,             0.00901,             0.00901,             0.00901
                   7,            0.062637,            0.021694,            0.015953,             0.54353,             0.37601,             0.39027,             0.13817,            0.057841,            0.025466,            0.017954,            0.008812,            0.008812,            0.008812
                   8,            0.058893,            0.021537,            0.015508,             0.60245,              0.4421,             0.45799,             0.19892,            0.055437,            0.025463,             0.01775,            0.008614,            0.008614,            0.008614
                   9,            0.058538,            0.021246,             0.01494,              0.5781,             0.42761,             0.44306,             0.16201,            0.057001,            0.024482,            0.017586,            0.008416,            0.008416,            0.008416
                  10,            0.056326,            0.019886,            0.014205,             0.65105,             0.45553,             0.51157,             0.20322,            0.054365,            0.023909,            0.017438,            0.008218,            0.008218,            0.008218
                  11,            0.055933,            0.020792,            0.012642,             0.63384,             0.47787,             0.53311,             0.22944,            0.052934,            0.023586,             0.01728,             0.00802,             0.00802,             0.00802
                  12,            0.055135,            0.018939,            0.012443,             0.62788,             0.54369,             0.56775,             0.23584,            0.052687,            0.023065,            0.015609,            0.007822,            0.007822,            0.007822
                  13,            0.053823,            0.019706,            0.013148,             0.64755,             0.48644,             0.54295,             0.23831,            0.053042,            0.024304,            0.016741,            0.007624,            0.007624,            0.007624
                  14,             0.05362,            0.019721,             0.01196,             0.73883,             0.41194,             0.49022,             0.20076,            0.054371,            0.024441,            0.018342,            0.007426,            0.007426,            0.007426
                  15,            0.053424,            0.019406,            0.011669,             0.65622,             0.51021,             0.53875,             0.21436,             0.05599,            0.023225,            0.017344,            0.007228,            0.007228,            0.007228
                  16,            0.053011,            0.021013,            0.011033,              0.7098,             0.48918,             0.55354,             0.25394,            0.051476,             0.02464,            0.017509,             0.00703,             0.00703,             0.00703
                  17,            0.050246,            0.018946,            0.010672,             0.68898,             0.53395,             0.58692,             0.25248,            0.052504,            0.023878,             0.01767,            0.006832,            0.006832,            0.006832
