               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10833,            0.074483,            0.038725,           0.0060334,             0.36777,            0.027447,           0.0059922,            0.089637,            0.074804,            0.024106,              0.0706,           0.0032667,           0.0032667
                   1,            0.089713,            0.055625,            0.023536,             0.77179,            0.058741,            0.018708,           0.0044751,             0.09622,            0.045448,            0.017585,            0.040469,           0.0064693,           0.0064693
                   2,            0.090704,            0.043633,            0.017956,             0.79642,            0.079887,            0.037844,              0.0116,            0.088596,            0.045772,            0.015263,            0.010207,             0.00954,             0.00954
                   3,            0.088009,            0.038747,            0.017495,             0.81902,            0.079887,            0.065038,            0.019725,             0.07853,            0.050651,            0.014453,            0.009406,            0.009406,            0.009406
                   4,            0.077746,            0.041176,            0.016188,              0.8452,             0.10761,             0.12539,            0.044204,            0.076411,            0.052268,            0.013046,            0.009406,            0.009406,            0.009406
                   5,            0.073516,            0.042536,            0.015058,             0.64051,             0.14808,             0.14655,            0.049557,            0.071414,            0.052714,            0.013748,            0.009208,            0.009208,            0.009208
                   6,             0.06902,            0.039586,            0.014437,             0.45667,             0.26332,             0.18625,            0.059619,            0.069061,            0.051719,            0.012661,             0.00901,             0.00901,             0.00901
                   7,            0.067162,            0.038055,            0.013179,             0.46458,             0.26192,             0.20699,            0.077587,            0.064094,            0.051745,            0.012165,            0.008812,            0.008812,            0.008812
                   8,            0.065895,            0.036814,            0.012997,             0.22364,             0.32291,             0.21993,            0.074137,            0.065018,            0.051459,            0.013135,            0.008614,            0.008614,            0.008614
                   9,            0.063414,            0.037865,            0.012186,             0.23928,              0.2902,             0.21274,            0.074021,            0.067977,            0.051862,            0.011965,            0.008416,            0.008416,            0.008416
                  10,            0.062106,            0.038915,            0.012189,             0.28063,             0.30617,             0.23184,            0.095848,            0.064617,            0.052276,            0.011578,            0.008218,            0.008218,            0.008218
                  11,            0.060645,             0.03644,            0.010281,             0.31653,              0.2432,             0.26321,            0.098874,             0.06278,            0.053204,            0.011518,             0.00802,             0.00802,             0.00802
                  12,            0.060948,            0.036645,            0.011161,             0.27184,              0.2677,             0.24802,             0.10085,             0.06026,             0.05586,            0.012377,            0.007822,            0.007822,            0.007822
                  13,            0.057992,            0.034881,            0.010386,             0.29139,             0.34866,             0.26488,            0.097133,            0.063723,            0.052695,            0.012173,            0.007624,            0.007624,            0.007624
                  14,            0.058572,            0.037015,           0.0098782,             0.41597,             0.27092,              0.2758,             0.10388,              0.0637,            0.053437,            0.011968,            0.007426,            0.007426,            0.007426
                  15,             0.05826,            0.036633,           0.0084568,             0.36983,             0.26371,             0.28978,             0.10684,            0.061116,            0.054683,            0.010763,            0.007228,            0.007228,            0.007228
                  16,            0.055249,             0.03466,           0.0086802,             0.36343,             0.23525,             0.27017,              0.1102,            0.061696,            0.057785,            0.010869,             0.00703,             0.00703,             0.00703
                  17,            0.055457,            0.034695,           0.0091641,             0.31967,             0.36676,             0.30844,              0.1256,            0.059726,            0.056462,            0.010843,            0.006832,            0.006832,            0.006832
                  18,            0.055412,            0.036779,           0.0082587,             0.44504,             0.32982,             0.31621,             0.12926,            0.059249,            0.056698,            0.010743,            0.006634,            0.006634,            0.006634
                  19,            0.054659,            0.034379,           0.0076344,             0.36035,             0.33922,             0.32129,             0.12602,              0.0585,             0.05689,            0.010659,            0.006436,            0.006436,            0.006436
                  20,            0.053053,            0.033806,           0.0076417,             0.47125,             0.33018,             0.33633,             0.13708,            0.061173,            0.056281,            0.010559,            0.006238,            0.006238,            0.006238
                  21,             0.05337,            0.032927,           0.0069295,             0.40375,             0.36338,              0.3398,             0.13203,            0.061338,            0.054307,           0.0099038,             0.00604,             0.00604,             0.00604
                  22,            0.052305,            0.033991,           0.0073964,             0.62869,             0.30324,             0.35331,             0.14239,            0.058898,            0.056853,            0.010091,            0.005842,            0.005842,            0.005842
                  23,            0.052534,            0.035171,           0.0066868,               0.673,             0.33741,              0.3903,               0.143,            0.058372,            0.055915,            0.010102,            0.005644,            0.005644,            0.005644
                  24,             0.05186,            0.032007,           0.0056773,             0.51693,             0.31374,             0.34455,             0.14958,            0.056713,            0.057815,            0.010173,            0.005446,            0.005446,            0.005446
                  25,            0.050807,            0.033361,           0.0066924,             0.67771,             0.32455,             0.35349,             0.15122,            0.056374,            0.058573,            0.010497,            0.005248,            0.005248,            0.005248
                  26,              0.0512,            0.034661,           0.0063009,             0.64987,             0.28414,             0.33207,             0.14038,            0.057542,            0.058139,             0.01067,             0.00505,             0.00505,             0.00505
                  27,            0.049716,            0.032196,           0.0051671,             0.64387,             0.29402,             0.36262,             0.15032,            0.057286,            0.056641,            0.010283,            0.004852,            0.004852,            0.004852
                  28,            0.049133,             0.03117,           0.0051504,             0.52716,             0.40661,              0.3996,             0.16269,            0.058837,              0.0569,           0.0094938,            0.004654,            0.004654,            0.004654
                  29,             0.04921,            0.029709,           0.0050665,             0.60828,             0.34907,              0.3702,             0.15179,            0.058397,            0.057579,           0.0099248,            0.004456,            0.004456,            0.004456
                  30,            0.047353,            0.032496,           0.0053056,             0.62869,             0.33066,              0.3795,             0.14839,            0.057208,             0.05867,            0.010157,            0.004258,            0.004258,            0.004258
                  31,            0.046768,            0.031255,             0.00516,             0.59716,             0.33452,             0.38859,             0.15411,            0.057239,            0.057128,           0.0099508,             0.00406,             0.00406,             0.00406
                  32,            0.047476,            0.031239,           0.0047247,             0.53242,             0.33497,             0.38024,             0.15773,            0.056643,            0.056774,           0.0097125,            0.003862,            0.003862,            0.003862
                  33,            0.047409,            0.029718,             0.00418,             0.63731,             0.32818,             0.38466,             0.16043,            0.057383,            0.057627,           0.0096278,            0.003664,            0.003664,            0.003664
                  34,            0.045774,            0.031159,           0.0050583,             0.70035,             0.32324,             0.40108,             0.17005,            0.056838,            0.057993,           0.0095825,            0.003466,            0.003466,            0.003466
                  35,            0.045602,            0.028566,           0.0044872,              0.6039,             0.36125,             0.42462,             0.18084,            0.056205,               0.057,           0.0099078,            0.003268,            0.003268,            0.003268
                  36,            0.045663,            0.029643,           0.0053474,             0.61374,             0.35433,             0.41555,             0.17309,            0.056816,            0.058045,           0.0098912,             0.00307,             0.00307,             0.00307
